ID	汉字	拼音
1079	吥	bu4
1080	步	bu4
1081	咘	bu4
1082	怖	bu4
1083	歨	bu4
1084	歩	bu4
1085	钚	bu4
1086	勏	pou3
1087	埗	bu4
1088	悑	bu4
1089	捗	bu4
1090	荹	bu4
1091	部	bu4
1092	埠	bu4
1093	瓿	bu4
1094	鈈	bu4
1095	廍	bu4
1096	蔀	bu4
1097	踄	bu4
1098	郶	bu4
1099	篰	bu4
1100	餢	bu4
1101	簿	bu4
1102	嚓	ca1
1103	嚓	cha1
1104	擦	ca1
1105	攃	sa1
1106	礤	ca3
1107	礸	can3
1108	遪	cha1
1109	囃	ca1
1110	猜	cai1
1111	才	cai2
1112	材	cai2
1113	财	cai2
1114	財	cai2
1115	戝	zei2
1116	裁	cai2
1117	纔	cai2
1118	采	cai3
1119	倸	cai3
1120	埰	cai4
1121	婇	cai3
1122	寀	cai4
1123	彩	cai3
1124	採	cai3
1125	睬	cai3
1126	跴	cai3
1127	綵	cai3
1128	踩	cai3
1129	菜	cai4
1130	棌	cai3
1131	蔡	cai4
1132	縩	cai4
1133	参	can1
1134	参	cen1
1135	参	shen1
1136	叄	san1
1137	飡	can1
1138	骖	can1
1139	叅	can1
1140	喰	can1
1141	湌	can1
1142	傪	can1
1143	嬠	can3
1144	餐	can1
1145	驂	can1
1146	残	can2
1147	蚕	can2
1148	惭	can2
1149	殘	can2
1150	慚	can2
1151	蝅	can2
1152	慙	can2
1153	蠶	can2
1154	蠺	can2
1155	惨	can3
1156	朁	can3
1157	慘	can3
1158	噆	can2
1159	憯	can3
1160	穇	can3
1161	黪	can3
1162	黲	can3
1163	灿	can4
1164	粲	can4
1165	儏	can4
1166	澯	can4
1167	薒	can4
1168	燦	can4
1169	璨	can4
1170	謲	can1
1171	仓	cang1
1172	仺	cang1
1173	伧	cang1
1174	沧	cang1
1175	苍	cang1
1176	鸧	qiang1
1177	倉	cang1
1178	舱	cang1
1179	傖	cang1
1180	凔	cang1
1181	嵢	cang1
1182	滄	cang1
1183	獊	cang1
1184	蒼	cang1
1185	濸	cang1
1186	艙	cang1
1187	螥	cang1
1188	罉	cang1
1189	鶬	qiang1
1190	匨	zang1
1191	蔵	zang1
1192	藏	cang2
1193	欌	cang2
1194	鑶	cang2
1195	賶	cang4
1196	撡	cao1
1197	操	cao1
1198	糙	cao1
1199	曺	cao2
1200	曹	cao2
1201	嘈	cao2
1202	嶆	cao2
1203	漕	cao2
1204	蓸	cao2
1205	槽	cao2
1206	褿	cao2
1207	艚	cao2
1208	螬	cao2
1209	鏪	cao2
1210	艸	cao3
1211	草	cao3
1212	愺	cao3
1213	懆	cao3
1214	騲	cao3
1215	肏	cao4
1216	鄵	cao4
1217	襙	cao4
1218	鼜	qi4
1219	冊	ce4
1220	册	ce4
1221	侧	ce4
1222	厕	ce4
1223	恻	ce4
1224	拺	se4
1225	测	ce4
1226	荝	ce4
1227	敇	chi4
1228	畟	ce4
1229	側	ce4
1230	厠	ce4
1231	笧	shan4
1232	粣	se4
1233	萗	ce4
1234	廁	ce4
1235	惻	ce4
1236	測	ce4
1237	策	ce4
1238	萴	ce4
1239	筞	ce4
1240	筴	ce4
1241	蓛	ce4
1242	墄	ce4
1243	箣	ce4
1244	憡	ce4
1245	簎	ji2
1246	嵾	cen1
1247	膥	cen1
1248	岑	cen2
1249	梣	cen2
1250	涔	cen2
1251	笒	jin4
1252	噌	ceng1
1253	层	ceng2
1254	層	ceng2
1255	嶒	ceng2
1256	竲	ceng2
1257	驓	ceng2
1258	蹭	ceng4
1259	叉	cha1
1260	扱	xi1
1261	芆	cha1
1262	肞	cha1
1263	臿	cha1
1264	挿	cha1
1265	訍	cha1
1266	偛	cha1
1267	嗏	cha1
1268	插	cha1
1269	揷	zha3
1270	馇	cha1
1271	銟	cha1
1272	锸	cha1
1273	艖	cha1
1274	疀	cha1
1275	鍤	cha1
1276	鎈	cha1
1277	餷	zha0
1278	秅	na2
1279	垞	cha2
1280	查	cha2
1281	査	cha2
1282	茬	cha2
1283	茶	cha2
1284	嵖	cha2
1285	搽	cha2
1286	猹	cha2
1287	靫	cha2
1288	槎	cha2
1289	詧	cha2
1290	察	cha2
1291	碴	cha2
1292	褨	suo3
1293	檫	cha2
1294	蹅	cha3
1295	镲	cha3
1296	鑔	cha3
1297	奼	cha4
1298	汊	cha4
1299	岔	cha4
1300	侘	cha4
1301	诧	cha4
1302	姹	cha4
1303	差	cha1
1304	差	cha4
1305	差	ci1
1306	差	chai1
1307	紁	cha4
1308	詫	cha4
1309	拆	chai1
1310	钗	chai1
1311	釵	chai1
1312	犲	chai2
1313	侪	chai2
1314	柴	chai2
1315	祡	chai2
1316	豺	chai2
1317	喍	chai2
1318	儕	chai2
1319	茝	chai3
1320	虿	chai4
1321	袃	chai4
1322	蠆	chai4
1323	囆	chai4
1324	辿	chan1
1325	觇	chan1
1326	梴	chan1
1327	掺	chan1
1328	搀	chan1
1329	覘	chan1
1330	裧	chan1
1331	摻	chan1
1332	鋓	chan1
1333	幨	chan1
1334	襜	chan1
1335	攙	chan1
1336	婵	chan2
1337	谗	chan2
1338	棎	chan2
1339	湹	chan2
1340	禅	chan2
1341	馋	chan2
1342	嬋	chan2
1343	煘	qian2
1344	缠	chan2
1345	僝	zhuan4
1346	獑	chan2
1347	蝉	chan2
1348	誗	chan2
1349	鋋	chan2
1350	儃	chan2
1351	廛	chan2
1352	潹	chan2
1353	潺	chan2
1354	緾	chan2
1355	磛	chan2
1356	禪	chan2
1357	毚	chan2
1358	鄽	chan2
1359	镡	xin2
1360	瀍	chan2
1361	蟬	chan2
1362	劖	chan2
1363	繵	dan4
1364	蟾	chan2
1365	酁	chan2
1366	嚵	chan2
1367	壥	chan2
1368	巉	chan2
1369	瀺	chan2
1370	欃	chan2
1371	纏	chan2
1372	纒	chan2
1373	躔	chan2
1374	镵	chan2
1375	艬	chan2
1376	讒	chan2
1377	鑱	chan2
1378	饞	chan2
1379	产	chan3
1380	刬	chan3
